Page/group,Date of obs,Date of pub,Period of obs,Brief description,Content Type,Strategies,Calls to action,Engagement metrics,Like ,Heart,Haha,Angry,Surprised,Sad,Cares (new),Comments (No.),,Shares,"Fact checking, if possible"
We Support Narendra Modi,1st April,1st April,10am-6pm,screenshot of muslim persons Facebook post wishing for India to face coronavirus stage 3,C4,-,-,,3,,,,,,,1,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,"video of Muslim men apparently cleaning utensils with their hand, licking away food (fake news)",C3,S2,-,,1,,1,,,,,,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,"""Markaz ke gaddaron ko, goli maaron saalon ko""",C5,-,A1,,42,,,,,,,2,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,benign national pride post,C4,-,-,,16,,,,,,,4,,,
We Support Narendra Modi,1st April,1st April,10am-6pm,sketch of modi,C4,-,-,,3,,,,,,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,"video of Muslim men apparently cleaning utensils with their hand, licking away food (fake news)",C3,S2,-,,2,,,2,,,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,criticizing virus spread from tablighi jamaat gathering as part of Islamic conspiracy,C4,S2,-,,1,,,,,,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,"OpIndia article about Tablighi Jamaat and an ""Islamic Raj""",C1,S2,-,,12,,,4,,,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,"criticizing Aaj Tak, implying some sort of nexus with Kejriwal and AAP",C4,-,-,,1,,,,,,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,criticizing Kejriwal,C5,-,-,,34,,3,,,,,12,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,claiming China conspired to infect the world,C4,S2,-,,,,,,,,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,criticizing Ravish Kumar,C4,-,-,,,,,,,,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,praying for people of all religion,C5,-,-,,1,,,,,1,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,"benign antimuslim post, comments violent",C4,S1 (comments),A1 (comments),,4,,1,,,1,,2,inciting violence,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,"video of Muslim men apparently cleaning utensils with their hand, licking away food (fake news)",C3,S2,-,,2,,,,,,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,Ramayana show DD national,C3,-,-,,8,4,,,,1,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,Coronavirus tips - tiktok video,C3,-,-,,35,4,,,,11,,1,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,"Ajay singh bisht saying if people boycott his films, SRK might one day be on the road",C3,-,-,,86,11,5,,,,,32,one inciting violence,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,Ramayana related post,C4,-,-,,186,22,1,,,3,,11,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,hour long live video of spiritual leader Rampal ji speaking,C3,-,-,,,,,1,,,,,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,"video of police chasing Muslims coming out of a mosque after namaaz, caption poking fun",C3,S3,-,,34,1,18,13,,,,1,,,
Rashtriya Swayamsevak Sangh,1st April,1st April,10am-6pm,"claiming 80% covid patients are muslim and 98% donors to PM cares fund are hindus, saying muslims leech off hindus",C4,S2,-,,16,,3,,,,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,sikh man at unspecified rally shouting anti-modi slogans with profanities and vague threats,C3,-,-,,6,,1,8,,,,10,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,"image of girl child with significant burn injury, no context given, asking for likes and shares",C4,-,-,,26,,,,,7,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,Zee News coverage of Tablighi Jamaat issue,C3,-,-,,1,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,"calling Muslims ""Jihadi pigs"" asking for tax money to not be spent on their corona treatment",C5,S1,-,,13,,,,,1,,4,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,video of Pushpendra Kulshreshtha- heavy anti muslim rhetoric,C3,"S1, S2",-,,,,,,,,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,content unavailable,,-,-,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,meme advocating violence to pak,C2,S3,-,,,,1,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,anti-congress speech,C3,-,-,,24,4,,,3,,,6,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,police and doctors speaking with tablighi jamaat - benign,C3,-,-,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,"""Capital TV""  YT news coverage of delhi riots - hindu victims",C3,S2,-,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,"video of Muslims on a roof during Namaaz, east of kailash",C3,-,-,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,praising ajay singh bisht as CM with his photo posted,C4,-,-,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,video of Ajay Bisht visiting sick children in a hospital,C3,-,-,,13,3,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,news article about people picked up from Markaz Nizamuddin spitting from bus,C1,-,-,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,The wire -Arfa Khanum interview with Arif Mohammad Khan,C3,-,-,,10,1,,,2,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),1st April,1st April,10am-6pm,describing growing anti muslim sentiment as result of muslims' actions not anyone else,C5,S2,-,,3,,,,,,,1,,,
Vishwa Hindu Parishad,1st April,30th March,10am-6pm,sharing post of hindu putra org and nagesh samrat - videos of community service during epidemic,C3,-,-,,5,1,,,,,,1,,,
Vishwa Hindu Parishad,1st April,27th March,10am-6pm,post about Andhra govt taking money meant for tirupati mandir and giving to mosques,C4,-,-,,41,,,,,,,4,,7,
Vishwa Hindu Parishad,1st April,30th March,10am-6pm,daily wager talking about being stranded during covid emergency,C3,-,-,,12,,,,,5,,2,,9,
Vishwa Hindu Parishad,1st April,30th March,10am-6pm,supporting rajeev dikshit-social activist,C4,-,-,,6,,,,,,,,,1,
Vishwa Hindu Parishad,1st April,30th March,10am-6pm,importance of lockdown,C5,-,-,,22,,,,,,,,,4,
Vishwa Hindu Parishad,1st April,30th March,10am-6pm,Capital TV segment on Indian muslims having helped build pakistan,C3,S1,-,,3,,,,,,,,,1,
Vishwa Hindu Parishad,1st April,30th March,10am-6pm,"after corona is over, business should only go to Anand Mahindra, Tata, Reliance, Ramdev, Akshay Kumar",C4,-,-,,26,,,,,,,,,4,
Vishwa Hindu Parishad,1st April,30th March,10am-6pm,Bhojpuri song,C3,-,-,,1,,,,,,,,,,
Vishwa Hindu Parishad,1st April,27th March,10am-6pm,"boycott products endorsed by Shahrukh, Salman, Aamir",C5,-,A2,,37,,,,,,,2,,2,
Vishwa Hindu Parishad,1st April,27th March,10am-6pm,"tiktok video abusing SRK - antinational, pakistani, slurs, econ. Boycott",C3,S1,-,,30,6,,,,,,13,,7,
Vishwa Hindu Parishad,1st April,27th March,10am-6pm,samajwadi party leader discussing coronavirus,C3,-,-,,4,1,6,,,,,,,5,
SurySagarji GuruDev,1st April,1st April,10am-6pm,live video of Malik Bhai Hindu on corona jihad,C3,"S1, S2",A1,,37,,,,,,,3,,21,
SurySagarji GuruDev,1st April,1st April,10am-6pm,asking for Modi's orders to shoot people in masjids during lockdown,C5,S1,A1,,280,,,,,,,85,,48,
SurySagarji GuruDev,1st April,1st April,10am-6pm,giving speech on gauraksha and hindu unity,C3,-,-,,372,43,,1,,1,,77,,122,
SurySagarji GuruDev,1st April,31st March,10am-6pm,"extreme anti muslim speech, direct threats",C3,"S1, S2",A1,,835,83,,,,3,,152,,199,
SurySagarji GuruDev,1st April,31st March,10am-6pm,criticizing muslims accepting govt rations as it is against quran,C5,S1,-,,192,12,14,,,,,57,,35,
SurySagarji GuruDev,1st April,31st March,10am-6pm,some kind of film/tv show on Hindu culture,C3,-,-,,430,54,,,,1,,71,,126,
SurySagarji GuruDev,1st April,29th March,10am-6pm,"shared tweet offering own body for corona medical testing, tagged modi, shah, yogi, zee news, aaj tak",C4,-,-,,293,34,,,1,4,,65,,27,
SurySagarji GuruDev,1st April,28th March,10am-6pm,announcing 3 days of solitude and fasting -spiritual practice for world peace,C3,-,-,,1000,211,3,,2,13,,542,,249,
Amit Prajapati Hindu,1st April,1st April,10am-6pm,Hindu Raksha Dal distributing food,C3,-,-,,45,11,,,1,,,18,,4,
Amit Prajapati Hindu,1st April,1st April,10am-6pm,Hindu Raksha Dal distributing food,C3,-,-,,15,,,,,,,3,,6,
Amit Prajapati Hindu,1st April,1st April,10am-6pm,HRD distributing food,C3,-,-,,186,20,,,,,,33,,8,
Amit Prajapati Hindu,1st April,1st April,10am-6pm,HRD distributing food,C3,-,-,,100,15,,,,,,30,,21,
Amit Prajapati Hindu,1st April,31st March,10am-6pm,HRD distributing food in Loni,C3,-,-,,12,,,,,,,,,1,
Amit Prajapati Hindu,1st April,31st March,10am-6pm,HRD distributing food in Loni,C5,-,-,,301,21,,,1,,,49,,42,
Amit Prajapati Hindu,1st April,31st March,10am-6pm,HRD distributing food in Loni,C3,-,-,,6,,,,,,,,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,"picture of snake spitting water in the air, caption ""recognize this?""",C4,S1,-,,33,,,,,,,12,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,"video of severely injured Muslim man talking about police brutality against him in Ranchi, caption mocking the incident",C3,S3,A1 (comments),,212,10,170,,6,1,,150,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,"shared video of muslim vegetable vendor, person recording claiming he washed vegetables from the same water he drank - shop was closed by the video taker",C3,-,A2 (comments),,13,,1,13,,,,6,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,"benign unrelated video, captioned asking modi to ban ""mullahs, masjids, violence""",C3,S1,A4,,6,,,,,,,,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,video of Muslim men saying they will not offer prayers at home during epidemic,C3,-,-,,,,,,,,,1,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,"video of Muslim man defending Tablighi Jamaat, saying India will defeat both corona and hate, comments hateful",C3,-,-,,8,,,,,,,20,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,"shared screenshot apparently viral in Muslim whatsapp groups, warning each other of police using the virus to target muslim areas, create false positives, lock them up",C4,-,-,,2,,,,,,,,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,video of apparent Muslim fish seller treating the fish with something - caption implicitly suggesting poisoning,C3,S2,-,,9,,1,11,1,,,4,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,"videos of Muslim girls saying coronavirus was sent by Allah, they aren't scared of it",C3,-,-,,17,,19,1,,,,24,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,"""R9"" channel coverage of coronavirus lockdown",C3,-,-,,8,,,,,,,,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,cricketers facetiming each other,C3,-,-,,44,,,,,,,1,,,
We Support Narendra Modi,2nd April,2nd April,11am-4pm,NewsNation debate on maulana (jamaat) spreading coronavirus,C3,-,-,,16,1,1,,,,,,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,"tiktok of muslim man saying covid-19 is from god, caption saying jihadi",C3,S1,-,,4,,,10,,,,9,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,"picture of aamir khan with Pakistani maulana - caption citing conspiracy but still benign, comments hatefu",C4,-,-,,27,,,16,,,,7,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,"shared video describing indian muslim historical figures (favourably), caption mocking but benign",C3,-,-,,18,,19,1,,,,22,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,female healthworker in indore claiming muslims attacked them,C3,-,A4 (comments),,53,,,47,1,13,,16,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,plant growing hacks,C3,-,-,,5,,,,,,,,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,screenshots of benign tweets,C4,-,-,,62,2,9,,,,,1,,,
Rashtriya Swayamsevak Sangh,2nd April,27th March,11am-4pm,screenshot of benign tweets,C4,-,-,,466,,,,,,,40,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,video of ostensibly muslim citizens chasing health workers in Indore,C3,-,-,,3,,,13,,,,3,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,irrelevant music video,C3,-,-,,,,2,,,1,,,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,"video of Muslim shopkeeper at a bakery blowing air into a paper bag to make it fuller, described in caption as spitting to spread virus",C3,S2,A2,,3,,1,10,,1,,,,,
Rashtriya Swayamsevak Sangh,2nd April,2nd April,11am-4pm,"tiktok of muslim man saying covid-19 is from god, caption saying jihad",C3 ,S1,-,,22,,2,42,,,,29,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,"criticizing BJP govt for not banning Tablighi Jamaat, calling them enemies of humanity",C5,S1,A4,,60,,,,,,,9,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,"stating ""name a species in India who never learn no matter what"", comments are slurs for Muslims",C5,S1,-,,104,,,,,,,66,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,claiming rations distributed in Pakistan were not given to Hindus there,C5,-,-,,2,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,saying there is a need for surgical strike inside India for antinationals,C5,S1,A4,,2,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,"on Tablighi Jamaat, saying Muslims have been exposed, asking for Muslim boycott",C5,-,A3,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,Asking for everyone to comment Jai Shri Ram for Ram Navami,C5,-,-,,367,33,,,,,,183,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,1st April,9-11:30pm,"video of Muslim women in Ahmedabad criticizing lockdown and saying they are unable to get food, hateful comments",C3,S1 (comments),-,,33,,36,1,,1,,79,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,"parody Hindi translation of Namaaz, contains slurs",C3,S1,-,,15,,10,1,,,,3,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,video of Muslim man in a bus apparently spitting at policeman (fake news) ,C3,-,-,,,,,,,,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,"video of rally, location unknown, crowd mostly Muslim - unknown language - anti-modi slogans, hitting a poster with Modis face, with shoes",C3,-,-,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),2nd April,2nd April,9-11:30pm,tiktok video of muslim man saying covid-19 is from god ,C3,-,-,,,,,,,,,,,,
Vishwa Hindu Parishad,2nd April,,9-11:30pm,NO NEW POSTS,,-,-,,,,,,,,,,,,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,"referring to zee news' claim on 1500 muslims from jamaat having gone to gujarat, claims they will die there",C5,-,A1,,195,,,,,,,37,,19,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,picture of supplies being handed to the poor,C4,-,-,,72,,,,,,,13,,4,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,"asking for 90 day lockdown and ration to be given on basis of citizenship papers, no NRC will be needed as infiltrators will get caught for sure",C5,-,A4,,597,35,5,,3,,,85,,113,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,"calling Muslims demons that need to be killed, shared image of news article of 'videshi' muslims hiding in mosques in Patna",C4,-,A1,,186,5,1,5,1,11,,27,,57,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,"""the bastards have succeeded in reporting my FB live, got disconnected in the middle and couldn't finish""",C5,-,-,,69,1,,3,1,10,,9,,3,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,"FB live: heavy islamophobic content: e.g don't treat muslims, they are conspiring to end india,  ",C3,"S1, S2, S4","A1, A4",,1000,206,1,3,2,1,,589,"mentions that he is getting reported while he is speaking, hence the quality is glitching",711,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,announcing FB live for 1pm on 2nd april - only for hindus,C5,-,-,,289,22,,,1,,,30,,14,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,anti-congress meme,C2,-,-,,112,3,11,,,,,12,,8,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,No hindu doctors should treat Muslim patients of coronavirus,C5,-,A3,,829,,,,,,,114,,122,
SurySagarji GuruDev,2nd April,2nd April,9-11:30pm,"video of himself singing ""kitna badal gaya insaan""",C3,-,-,,350,43,,,1,4,,65,,14,
Amit Prajapati Hindu,2nd April,2nd April,9-11:30pm,HRD distributing food in Loni,C3,-,-,,110,6,,,,,,13,,9,
Amit Prajapati Hindu,2nd April,2nd April,9-11:30pm,"Asking people to freely answer ""who are the mad pigs?"", comments are all-Muslims",C5,S1,-,,22,,,,1,,,9,,1,
Amit Prajapati Hindu,2nd April,2nd April,9-11:30pm,"caption ""my brothers"", content unavailable",Content unavailable,-,-,,24,1,,,,,,2,,,
Amit Prajapati Hindu,2nd April,2nd April,9-11:30pm,"threatening to violently deal with mosques that remain open, urging others to do the same",C3,"S1, S4, S5",A1,,117,11,,,,,,25,,23,
Amit Prajapati Hindu,2nd April,2nd April,9-11:30pm,"asking people ""what should be done to mad pigs?"", comments inciting violence",C5,S5,A1 (comments),,189,3,2,,1,,,80,,3,
Amit Prajapati Hindu,2nd April,2nd April,9-11:30pm,"saying that collective reading of namaaz has to be stopped, picture of news article on tablighi jamaat",C4,-,-,,30,1,,,,1,,2,,,
Amit Prajapati Hindu,2nd April,2nd April,9-11:30pm,"claiming if prayers at mosques are not restricted, HRD will have to take action itself",C5,-,A1,,139,17,,,,,,38,,26,
Amit Prajapati Hindu,2nd April,2nd April,9-11:30pm,"Asking for 1008 comments of ""ram"" due to Ram Navami",C5,-,-,,310,26,,,2,,,325,,3,
We Support Narendra Modi,3rd April,2nd April,10-6pm,Marvelling at Modi as a gem amongst humans,C4,-,-,,825,,,,,,,39,,,
We Support Narendra Modi,3rd April,3rd April,10-6pm,"""the same people who don't want to generalize Muslims, are ok generalizing a country as lynchistan""",C4,-,-,,11,,,1,,,,3,,,
We Support Narendra Modi,3rd April,3rd April,10-6pm,"video of Indore police beating people in the locality where healthworkers were attacked, caption praising it",C3,S4,-,,117,15,21,,1,,,39,,,
We Support Narendra Modi,3rd April,3rd April,10-6pm,"video of rally, location unknown, crowd mostly Muslim - unknown language - anti-modi slogans, hitting a poster with Modis face, with shoes",C3,-,"A1, A2 (both in comments)",,30,,,26,,1,,64,,,
We Support Narendra Modi,3rd April,3rd April,10-6pm,"video of Muslim man in Pakistan saying that Muslims and Sikhs will together erase Modi and BJP, caption saying wake up hindus",C3,-,-,,12,,7,8,1,,,26,,,
We Support Narendra Modi,3rd April,3rd April,10-6pm,"video of Muslim man saying covid is fake, a ploy by Modi similar to demonetization and to ignore it",C3,-,-,,15,,1,6,,,,22,,,
We Support Narendra Modi,3rd April,3rd April,10-6pm,"(2) video of Muslim man in Pakistan saying that Muslims and Sikhs will together erase Modi and BJP, caption saying wake up hindus",C3,-,-,,4,,,1,,,,1,,,
We Support Narendra Modi,3rd April,3rd April,10-6pm,"two videos edited together as before & after, Muslim man saying covid is from allah and Muslim man after being beaten by cops in Ranchi",C3,S4,-,,1,,3,,,,,,,,
We Support Narendra Modi,3rd April,3rd April,10-6pm,"video of Muslim man apparently caught lying to Hindu girl about his name, posted as proof of love jihad",C3,"S1, S2",-,,4,,,,,,,1,,,
We Support Narendra Modi,3rd April,3rd April,10-6pm,"benign video taken after police tried to disperse gathering for Namaaz at a masjid, did not succeed, both sides disagreeing with each other",C3,-,-,,4,1,,,,,,3,,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,"""the same people who don't want to generalize Muslims, are ok generalizing a country as lynchistan""",C4,-,-,,12,,,2,,,,5,,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,"video of Indore police beating people in the locality where healthworkers were attacked, caption praising it",C3,S4,-,,71,16,4,,1,,,18,,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,"pictures of right-wing media personalities, asking if they are ""dalal"" (bootlicking), comments say no",C4,S5,-,,31,,,,,,,76,all disagree vehemently,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,shared video of Tablighi Jamaat member - Ghazi Rahman saying those in Tablighi are always in Allah's favour,C3,-,-,,,,,,,,,4,,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,"two videos edited together as before & after, Muslim man saying covid is from allah and Muslim man after being beaten by cops in Ranchi",C3,S4,-,,3,,1,,,,,,,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,"video of Muslim man saying it is imp to pray to Allah for virus to go away, wear masks but don't avoid masjids at all, caption disapproving",C3,-,-,,1,,3,5,,,,2,,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,video of gathering in a masjid collectively praying - caption described as sneezing to spread covid,C3,S2,-,,,,,,,,,,,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,"video of Indore police beating people in the locality where healthworkers were attacked, caption praising it",C3,S4,-,,9,,,,,,,1,,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,"two videos edited together as before & after, Muslim man saying covid is from allah and Muslim man after being beaten by cops in Ranchi, caption mocking",C3,S4,-,,72,5,83,1,,,,27,,,
Rashtriya Swayamsevak Sangh,3rd April,3rd April,10-6pm,"video of Indore police beating people in the locality where healthworkers were attacked, caption praising it",C3,S4,-,,7,,,,,,,3,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,"screenshot of tweet about a pujari in MP getting beaten, disapproving of the event",C4,-,-,,2,,,,,,,8,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,"2 sentence rhyme about how real Hindus need to prioritize hindutva, comments are mostly jai shri ram but one also has a picture of a man's hand holding a gun",C5,S4,-,,69,4,,,,,,17,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,"UP police using force to drag muslim family out of their homes, apparently to a hospital for testing, caption mocking the family/praising police & yogi",C3,S4,-,,23,3,3,,,,,7,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,"two videos edited together as before & after, Muslim man saying covid is from allah and Muslim man after being beaten by cops in Ranchi, caption mocking",C3,S4,-,,11,,12,,,,,6,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,unexplained video of two policemen fighting,C3,-,-,,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,"video of Muslim man in a bus apparently spitting at policeman (fake news), caption says shoot him ",C3,S2,"A1 (caption, comment)",,1,,,2,,,,1,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,"video of Muslim women saying coronavirus is sent by Allah, they aren't scared of it, caption mocking but benign",C3,-,-,,6,,9,,,,,7,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,"video of two Muslim boys speaking hatefully against Hindus with profanity and sexist remarks, caption asking to make it go viral, comments inciting violent response",C3,S1 (both sides),A1 (both sides),,2,,1,12,,,,9,"post is about hate speech, responds to it with hate speech",,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,"screenshot of muslim persons Facebook post saying ""won't be only diyas burning on 5th april)",C4,-,A1 (subject of content),,,,,,,,,,,,
Bhagvadhari KattarHindu Yuva Foundation (Add Your Hindu Brothers),3rd April,3rd April,10-6pm,"tiktok video of Muslim man saying if NRC is removed, Allah will remove corona",C3,-,A1 (comments),,,,13,3,,,,16,,,
